Namn;Namn;Namn;Namn;Namn;Namn;Namn
Gruppering efter matcirkeln;;;;;;
Gruppering efter matcirkeln;Bröd o spannmål;;;;;
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;;;;
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Hårt bröd ;;;
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Mjukt bröd ;;;
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Riskakor;;;
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Smörgåskex;;;
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Tacoskal;;;
Gruppering efter matcirkeln;Bröd o spannmål;Flingor - frukostflingor;;;;
Gruppering efter matcirkeln;Bröd o spannmål;Matgryn;;;;
Gruppering efter matcirkeln;Bröd o spannmål;Mjöl stärkelse kli;;;;
Gruppering efter matcirkeln;Bröd o spannmål;Pasta;;;;
Gruppering efter matcirkeln;Bröd o spannmål;Ris risnudlar;;;;
Gruppering efter matcirkeln;Bröd o spannmål;Deg och gräddade skal och bottnar;;;;
Gruppering efter matcirkeln;Frukt o bär;;;;;
Gruppering efter matcirkeln;Frukt o bär;Bär färska frysta;;;;
Gruppering efter matcirkeln;Frukt o bär;Frukt färsk fryst;;;;
Gruppering efter matcirkeln;Frukt o bär;Frukt o bär konserverade;;;;
Gruppering efter matcirkeln;Frukt o bär;Frukt o bär torkade;;;;
Gruppering efter matcirkeln;Frukt o bär;Fruktjuice mm;;;;
Gruppering efter matcirkeln;Fett o olja;;;;;
Gruppering efter matcirkeln;Fett o olja;Flytande matfettsblandning;;;;
Gruppering efter matcirkeln;Fett o olja;Hård matfettsblandning;;;;
Gruppering efter matcirkeln;Fett o olja;Olja;;;;
Gruppering efter matcirkeln;Fett o olja;Smör;;;;
Gruppering efter matcirkeln;Fett o olja;Övrigt fett (ister, talg, kokosfett);;;;
Gruppering efter matcirkeln;Grönsaker o baljväxter ;;;;;
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Algprodukter;;;;
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Grönsaksjuice rotfruktsjuice;;;;
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Baljväxter (bönor, linser och ärter);;;;
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Grönsaker ;;;;
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Rotfrukter;;;;
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Grönsaksblandningar med rotfrukter och eller baljväxter;;;;
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Svamp;;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;;;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Blodmat;;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Fisk färsk fryst kokt;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Fisk rökt;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Fisk stekt ej panerad;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Skaldjur bläckfisk färsk fryst kokt;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Skaldjur bläckfisk konserverad;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fågel ;;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Inälvor och organ;;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Korv;;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Kött ;;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Kött processat;;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Rom, kaviar;;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;"Övrigt animaliskt ""kött"", grodlår, sniglar, säl - färskt, fryst, tillagat";;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Ägg ;;;;
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Sylta;;;;
Gruppering efter matcirkeln;Ost o mjölkprodukter;;;;;
Gruppering efter matcirkeln;Ost o mjölkprodukter;Grädde creme fraiche;;;;
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mesvaror;;;;
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;;;;
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;Mjölk;;;
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;Fil yoghurt o syrade produkter;;;
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;Fil yoghurt o syrade produkter;Naturell fil yoghurt;;
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;Fil yoghurt o syrade produkter;Smaksatt fil yoghurt;;
Gruppering efter matcirkeln;Ost o mjölkprodukter;Vegetabiliska produkter och mjölkersättning;;;;
Gruppering efter matcirkeln;Ost o mjölkprodukter;Vegetabiliska produkter och mjölkersättning;Mjölk veg. prod. el mjölkersättning ;;;
Gruppering efter matcirkeln;Ost o mjölkprodukter;Vegetabiliska produkter och mjölkersättning;Fil o youghurt veg. prod. el mjölkersättning ;;;
