Gruppering efter matcirkeln;;;;;Gruppering efter matcirkeln;0
Gruppering efter matcirkeln;Bröd o spannmål;;;;Bröd o spannmål;0
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;;;Bröd;0
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Hårt bröd ;;Hårt bröd;28
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Mjukt bröd ;;Mjukt bröd;42
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Riskakor;;Riskakor;2
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Smörgåskex;;Smörgåskex;7
Gruppering efter matcirkeln;Bröd o spannmål;Bröd;Tacoskal;;Tacoskal;1
Gruppering efter matcirkeln;Bröd o spannmål;Flingor - frukostflingor;;;Flingor - frukostflingor;28
Gruppering efter matcirkeln;Bröd o spannmål;Matgryn;;;Matgryn;14
Gruppering efter matcirkeln;Bröd o spannmål;Mjöl stärkelse kli;;;Mjöl stärkelse kli;29
Gruppering efter matcirkeln;Bröd o spannmål;Pasta;;;Pasta;21
Gruppering efter matcirkeln;Bröd o spannmål;Ris risnudlar;;;Ris risnudlar;25
Gruppering efter matcirkeln;Bröd o spannmål;Deg och gräddade skal och bottnar;;;Deg och gräddade skal och bottnar;3
Gruppering efter matcirkeln;Frukt o bär;;;;Frukt o bär;2
Gruppering efter matcirkeln;Frukt o bär;Bär färska frysta;;;Bär färska frysta;24
Gruppering efter matcirkeln;Frukt o bär;Frukt färsk fryst;;;Frukt färsk fryst;42
Gruppering efter matcirkeln;Frukt o bär;Frukt o bär konserverade;;;Frukt o bär konserverade;17
Gruppering efter matcirkeln;Frukt o bär;Frukt o bär torkade;;;Frukt o bär torkade;14
Gruppering efter matcirkeln;Frukt o bär;Fruktjuice mm;;;Fruktjuice mm;22
Gruppering efter matcirkeln;Fett o olja;;;;Fett o olja;0
Gruppering efter matcirkeln;Fett o olja;Flytande matfettsblandning;;;Flytande matfettsblandning;7
Gruppering efter matcirkeln;Fett o olja;Hård matfettsblandning;;;Hård matfettsblandning;39
Gruppering efter matcirkeln;Fett o olja;Olja;;;Olja;15
Gruppering efter matcirkeln;Fett o olja;Smör;;;Smör;3
Gruppering efter matcirkeln;Fett o olja;Övrigt fett (ister, talg, kokosfett);;;Övrigt fett (ister, talg, kokosfett);4
Gruppering efter matcirkeln;Grönsaker o baljväxter ;;;;Grönsaker o baljväxter;0
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Algprodukter;;;Algprodukter;1
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Grönsaksjuice rotfruktsjuice;;;Grönsaksjuice rotfruktsjuice;4
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Baljväxter (bönor, linser och ärter);;;Baljväxter (bönor, linser och ärter);51
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Grönsaker ;;;Grönsaker;94
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Rotfrukter;;;Rotfrukter;21
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Grönsaksblandningar med rotfrukter och eller baljväxter;;;Grönsaksblandningar med rotfrukter och eller baljväxter;9
Gruppering efter matcirkeln;Grönsaker o baljväxter ;Svamp;;;Svamp;9
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;;;;Kött fisk skaldjur rom ägg;0
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Blodmat;;;Blodmat;2
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;;;Fisk o skaldjur;0
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Fisk färsk fryst kokt;;Fisk färsk fryst kokt;68
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Fisk rökt;;Fisk rökt;13
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Fisk stekt ej panerad;;Fisk stekt ej panerad;7
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Skaldjur bläckfisk färsk fryst kokt;;Skaldjur bläckfisk färsk fryst kokt;14
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fisk o skaldjur;Skaldjur bläckfisk konserverad;;Skaldjur bläckfisk konserverad;6
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Fågel ;;;Fågel;39
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Inälvor och organ;;;Inälvor och organ;33
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Korv;;;Korv;60
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Kött ;;;Kött;0
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Kött processat;;;Kött processat;25
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Rom, kaviar;;;Rom, kaviar;6
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Övrigt animaliskt *kött*, grodlår, sniglar, säl - färskt, fryst, tillagat;;;Övrigt animaliskt *kött*, grodlår, sniglar, säl - färskt, fryst, tillagat;1
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Ägg ;;;Ägg;9
Gruppering efter matcirkeln;Kött fisk skaldjur rom ägg;Sylta;;;Sylta;3
Gruppering efter matcirkeln;Ost o mjölkprodukter;;;;Ost o mjölkprodukter;0
Gruppering efter matcirkeln;Ost o mjölkprodukter;Grädde creme fraiche;;;Grädde creme fraiche;23
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mesvaror;;;Mesvaror;6
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;;;Mjölk fil yoghurt;0
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;Mjölk;;Mjölk;11
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;Fil yoghurt o syrade produkter;;Fil yoghurt o syrade produkter;0
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;Fil yoghurt o syrade produkter;Naturell fil yoghurt;Naturell fil yoghurt;11
Gruppering efter matcirkeln;Ost o mjölkprodukter;Mjölk fil yoghurt;Fil yoghurt o syrade produkter;Smaksatt fil yoghurt;Smaksatt fil yoghurt;11
Gruppering efter matcirkeln;Ost o mjölkprodukter;Vegetabiliska produkter och mjölkersättning;;;Vegetabiliska produkter och mjölkersättning;13
Gruppering efter matcirkeln;Ost o mjölkprodukter;Vegetabiliska produkter och mjölkersättning;Mjölk veg. prod. el mjölkersättning ;;Mjölk veg. prod. el mjölkersättning;0
Gruppering efter matcirkeln;Ost o mjölkprodukter;Vegetabiliska produkter och mjölkersättning;Fil o youghurt veg. prod. el mjölkersättning ;;Fil o youghurt veg. prod. el mjölkersättning;0
Gruppering efter matcirkeln;Ost o mjölkprodukter;Ost;;;Ost;0
Gruppering efter matcirkeln;Ost o mjölkprodukter;Ost;Hård ost m.m.;;Hård ost m.m.;11
Gruppering efter matcirkeln;Ost o mjölkprodukter;Ost;Smältost;;Smältost;8
Gruppering efter matcirkeln;Ost o mjölkprodukter;Ost;Dessertost;;Dessertost;8
Gruppering efter matcirkeln;Ost o mjölkprodukter;Ost;Färskost o kvarg;;Färskost o kvarg;15
Gruppering efter matcirkeln;Ost o mjölkprodukter;Ost;Ost med vegetabilskt fett;;Ost med vegetabilskt fett;3
Gruppering efter matcirkeln;Potatis;;;;Potatis;31
Gruppering efter matcirkeln;Soja-  veteprotein o quorn;;;;Soja-  veteprotein o quorn;3
Blandade rätter;;;;;Blandade rätter;0
Blandade rätter;Blodprodukter blodrätter;;;;Blodprodukter blodrätter;0
Blandade rätter;Fisk o skaldjursprodukter o rätter;;;;Fisk o skaldjursprodukter o rätter;69
